"","branch_code","time_block","tree","treatment","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","exo","guild"
"617","AB3C",3,"Beech","control",2,0,2,0,0,0,0,0,0,"Native",2
"618","BC8B",3,"Shadbush","bag",5,2,0,3,0,1,0,0,1,"Native",5
"619","BC8C",3,"Shadbush","control",0,1,1,3,6,2,0,0,0,"Native",0
"620","BC2C",3,"Shadbush","control",2,0,1,1,1,10,0,0,1,"Native",2
"621","BB6C",3,"Sweet Birch","control",4,2,0,6,9,0,0,0,0,"Native",4
"622","BC2B",3,"Shadbush","bag",4,1,0,1,3,9,0,0,0,"Native",4
"623","AO10B",3,"Autumn Olive","bag",8,3,0,1,0,6,0,0,2,"Non-native",8
"624","MW9B",3,"Musclewood","bag",6,1,0,4,0,2,5,0,2,"Native",6
"625","BB7B",3,"Sweet Birch","bag",3,1,1,0,0,1,0,0,2,"Native",3
"626","BY8B",3,"Barberry","bag",6,0,2,1,0,6,0,0,0,"Non-native",6
"627","HS9B",3,"Honeysuckle","bag",15,0,0,13,1,7,0,0,0,"Non-native",15
"628","BB8B",3,"Sweet Birch","bag",7,1,2,2,0,2,1,0,0,"Native",7
"629","SM9B",3,"Striped Maple","bag",3,1,2,3,0,0,0,0,1,"Native",3
"630","AO10C",3,"Autumn Olive","control",104,0,0,0,1,10,0,0,0,"Non-native",104
"631","MW9C",3,"Musclewood","control",2,0,2,1,3,1,11,0,0,"Native",2
"632","SM9C",3,"Striped Maple","control",1,0,0,1,0,0,0,0,0,"Native",1
"633","WH9B",3,"Witch-hazel","bag",6,1,0,1,1,2,0,0,1,"Native",6
"634","AB5C",3,"Beech","control",7,0,1,2,0,2,0,0,0,"Native",7
"635","WH10C",3,"Witch-hazel","control",1,1,0,2,0,0,0,0,0,"Native",1
"636","WH10B",3,"Witch-hazel","bag",9,2,0,7,0,1,0,0,1,"Native",9
"637","WE10C",3,"Burning Bush","control",3,0,0,0,0,0,0,0,0,"Non-native",3
"638","MW10C",3,"Musclewood","control",4,3,0,2,1,5,1,0,0,"Native",4
"639","HS10C",3,"Honeysuckle","control",16,1,0,0,0,10,0,0,2,"Non-native",16
"640","MW10B",3,"Musclewood","bag",7,0,6,1,1,6,1,0,0,"Native",7
"641","BB8C",3,"Sweet Birch","control",1,0,0,0,0,5,0,0,0,"Native",1
"642","BY10B",3,"Barberry","bag",6,0,0,0,0,10,0,0,0,"Non-native",6
"643","WE6B",3,"Burning Bush","bag",12,0,2,0,0,4,0,0,1,"Non-native",12
"644","BY10C",3,"Barberry","control",0,0,0,1,0,1,0,0,0,"Non-native",0
"645","WE6C",3,"Burning Bush","control",2,0,1,8,1,2,0,0,0,"Non-native",2
"646","BY8C",3,"Barberry","control",5,1,1,3,0,1,0,0,0,"Non-native",5
"647","SM10B",3,"Striped Maple","bag",8,1,3,0,1,4,0,0,1,"Native",8
"648","HS9C",3,"Honeysuckle","control",7,0,0,0,0,5,0,0,0,"Non-native",7
"649","AB6C",3,"Beech","control",5,1,0,1,1,7,0,0,0,"Native",5
"650","AO9B",3,"Autumn Olive","bag",12,5,0,0,0,12,0,0,0,"Non-native",12
"651","SM10C",3,"Striped Maple","control",2,1,1,3,1,0,0,0,0,"Native",2
"652","BC9B",3,"Shadbush","bag",3,1,0,1,0,4,0,0,3,"Native",3
"653","BB7C",3,"Sweet Birch","control",3,1,0,1,0,0,0,0,0,"Native",3
"654","BC10C",3,"Shadbush","control",4,0,0,0,2,2,0,0,2,"Native",4
"655","BC9C",3,"Shadbush","control",1,0,0,1,0,2,0,0,1,"Native",1
"656","AB6B",3,"Beech","bag",21,3,1,6,2,1,0,0,1,"Native",21
"657","WH9C",3,"Witch-hazel","control",2,2,0,0,0,3,0,0,0,"Native",2
"658","WE10B",3,"Burning Bush","bag",4,1,0,3,1,4,0,0,2,"Non-native",4
"659","HS10B",3,"Honeysuckle","bag",17,0,0,1,0,6,0,0,0,"Non-native",17
"660","BC10B",3,"Shadbush","bag",6,3,0,5,0,3,0,0,0,"Native",6
"661","AB5B",3,"Beech","bag",4,0,1,2,1,0,0,0,0,"Native",4
"662","AO9C",3,"Autumn Olive","control",7,0,0,0,0,4,1,0,0,"Non-native",7
"663","SM11B",3,"Striped Maple","bag",1,0,4,27,1,2,0,0,2,"Native",1
"664","SM11C",3,"Striped Maple","control",1,0,1,3,4,0,0,0,0,"Native",1
"665","SM12B",3,"Striped Maple","bag",2,3,1,15,3,2,0,0,0,"Native",2
"666","SM12C",3,"Striped Maple","control",1,0,1,3,3,0,0,0,0,"Native",1
"667","MW12B",3,"Musclewood","bag",6,2,0,1,0,5,0,0,0,"Native",6
"668","BC12C",3,"Shadbush","control",2,0,1,1,0,3,0,0,0,"Native",2
"669","BC12B",3,"Shadbush","bag",2,1,1,3,1,3,0,0,2,"Native",2
"670","MW11C",3,"Musclewood","control",3,4,0,6,1,2,0,0,0,"Native",3
"671","BC11C",3,"Shadbush","control",6,2,1,9,2,0,0,0,0,"Native",6
"672","AB7C",3,"Beech","control",1,0,2,4,1,1,0,0,0,"Native",1
"673","MW12C",3,"Musclewood","control",8,0,2,3,0,1,0,0,0,"Native",8
"674","WH11B",3,"Witch-hazel","bag",5,1,0,2,3,3,0,0,1,"Native",5
"675","MW11B",3,"Musclewood","bag",10,2,3,2,0,1,1,0,1,"Native",10
"676","BB10B",3,"Sweet Birch","bag",12,3,4,6,2,4,0,0,0,"Native",12
"677","AB8C",3,"Beech","control",3,0,2,13,1,1,0,0,1,"Native",3
"678","AB8B",3,"Beech","bag",1,0,2,11,2,1,0,0,1,"Native",1
"679","BC11B",3,"Shadbush","bag",4,2,1,12,1,1,0,0,2,"Native",4
"680","AO11B",3,"Autumn Olive","bag",13,0,0,0,0,3,0,0,0,"Non-native",13
"681","BY11C",3,"Barberry","control",3,0,1,0,0,2,0,0,0,"Non-native",3
"682","BB9B",3,"Sweet Birch","bag",4,1,1,6,1,1,0,0,1,"Native",4
"683","AB7B",3,"Beech","bag",5,0,2,10,1,0,0,0,1,"Native",5
"684","BB10C",3,"Sweet Birch","control",2,0,0,1,2,1,0,0,0,"Native",2
"685","WH12B",3,"Witch-hazel","bag",1,2,9,10,1,5,0,0,0,"Native",1
"686","WH11C",3,"Witch-hazel","control",5,0,2,2,0,1,0,0,1,"Native",5
"687","WH12C",3,"Witch-hazel","control",8,0,0,3,0,2,0,0,0,"Native",8
"688","HS11B",3,"Honeysuckle","bag",4,1,0,3,2,5,0,1,2,"Non-native",4
"689","WE11B",3,"Burning Bush","bag",10,1,1,1,5,5,0,0,1,"Non-native",10
"690","HS11C",3,"Honeysuckle","control",4,3,2,7,1,3,0,0,0,"Non-native",4
"691","AO11C",3,"Autumn Olive","control",5,0,1,0,0,4,0,0,0,"Non-native",5
"692","BY12C",3,"Barberry","control",7,0,0,1,2,1,0,1,0,"Non-native",7
"693","WE11C",3,"Burning Bush","control",11,0,1,2,0,5,0,0,0,"Non-native",11
"694","AO12C",3,"Autumn Olive","control",17,1,0,1,0,3,1,0,0,"Non-native",17
"695","WE12C",3,"Burning Bush","control",4,1,0,2,2,1,0,0,0,"Non-native",4
"696","BY11B",3,"Barberry","bag",4,1,2,1,1,3,0,2,0,"Non-native",4
"697","HS12C",3,"Honeysuckle","control",7,0,0,7,2,9,0,0,1,"Non-native",7
"698","WE12B",3,"Burning Bush","bag",6,1,2,6,0,0,0,0,0,"Non-native",6
"699","AO12B",3,"Autumn Olive","bag",1,0,0,2,6,0,0,0,0,"Non-native",1
"700","HS12B",3,"Honeysuckle","bag",5,0,0,6,4,17,0,13,0,"Non-native",5
"701","BY12B",3,"Barberry","bag",7,0,0,0,0,4,0,18,0,"Non-native",7
"702","BB9C",3,"Sweet Birch","control",0,0,0,3,1,0,0,0,0,"Native",0
